card_id,card_name,bank,network,eligible_mccs,earn_rate_mpd,base_rate_mpd,cap_sgd,cap_period,min_spend,requires_amaze,amaze_fee_pct,eligible_merchants,caveat,last_verified,source_url,eligible_channels,earn_block_sgd
amaze_citi,Amaze + Citi Rewards,Instarem/Citibank,Mastercard,"5812,5814,5411,5912,5311,5262,5331,4121",4.0,0.4,1000,statement_month,0,true,1.0,,,,,,1
maybank_horizon,Maybank Horizon Visa Signature,Maybank,Visa,,2.8,2.8,,calendar_month,800,false,0.0,,,,,,1
boc_elite,BOC Elite Miles,Bank of China,Visa,,1.4,1.4,,calendar_month,0,false,0.0,,,,,,1
uob_reserve,UOB Reserve,UOB,Visa,,1.6,1.6,,calendar_month,0,false,0.0,,,,,,5
uob_vim,UOB Visa Infinite Metal,UOB,Visa,,1.4,1.4,,calendar_month,0,false,0.0,,,,,,5
ocbc_voyage,OCBC VOYAGE,OCBC,Visa,,1.3,1.3,,calendar_month,0,false,0.0,,,,,,1
ocbc_voyage_premier,OCBC VOYAGE Premier,OCBC,Visa,,1.6,1.6,,calendar_month,0,false,0.0,,,,,,1
citi_ultima,Citi ULTIMA,Citibank,Visa,,1.6,1.6,,calendar_month,0,false,0.0,,,,,,1
dbs_insignia,DBS Insignia,DBS,Visa,,1.6,1.6,,calendar_month,0,false,0.0,,,,,,5
amex_krisflyer,Amex KrisFlyer Credit Card,American Express,Amex,4511,2.0,1.1,,calendar_month,0,false,0.0,,,,,,1
amex_krisflyer_ascend,Amex KrisFlyer Ascend,American Express,Amex,4511,2.0,1.2,,calendar_month,0,false,0.0,,,,,,1
amex_highflyer,Amex HighFlyer,American Express,Amex,4511,2.0,1.2,,calendar_month,0,false,0.0,,,,,,1
amex_plat_charge,Amex Platinum Charge,American Express,Amex,,0.63,0.63,,calendar_month,0,false,0.0,,,,,,1
amex_plat_credit,Amex Platinum Credit,American Express,Amex,,0.57,0.57,,calendar_month,0,false,0.0,,,,,,1
amex_centurion,Amex Centurion,American Express,Amex,,0.78,0.78,,calendar_month,0,false,0.0,,,,,,1
stanChart_beyond,Standard Chartered Beyond,Standard Chartered,Visa,,1.5,1.5,,calendar_month,0,false,0.0,,,,,,1
maybank_vi,Maybank Visa Infinite,Maybank,Visa,,1.2,1.2,,calendar_month,0,false,0.0,,,,,,1
maybank_world_mc,Maybank World Mastercard,Maybank,Mastercard,5541,4.0,0.4,,calendar_month,0,false,0.0,,,,,,1
maybank_perks,Maybank Perks,Maybank,Visa,,1.2,1.2,,calendar_month,500,false,0.0,,,,,,1
dcs_imperium,DCS Imperium,DCS Card,Visa,,1.0,1.0,,calendar_month,4000,false,0.0,,,,,,1
amaze,Amaze (Instarem),Instarem,Mastercard,,0.0,0.0,,calendar_month,0,false,0.0,,,,,,1
